year,home,away,homeGoals,awayGoals,totalGoals
1990.0,United Arab Emirates,Colombia,0,2,2
1990.0,West Germany,Yugoslavia,4,1,5
1990.0,Yugoslavia,Colombia,1,0,1
1990.0,West Germany,United Arab Emirates,5,1,6
1990.0,West Germany,Colombia,1,1,2
1990.0,Yugoslavia,United Arab Emirates,4,1,5
1990.0,Belgium,South Korea,2,0,2
1990.0,Uruguay,Spain,0,0,0
1990.0,Belgium,Uruguay,3,1,4
1990.0,South Korea,Spain,1,3,4
1990.0,Belgium,Spain,1,2,3
1990.0,South Korea,Uruguay,0,1,1
1990.0,England,Republic of Ireland,1,1,2
1990.0,Netherlands,Egypt,1,1,2
1990.0,England,Netherlands,0,0,0
1990.0,Republic of Ireland,Egypt,0,0,0
1990.0,England,Egypt,1,0,1
1990.0,Republic of Ireland,Netherlands,1,1,2
1994.0,Germany,Belgium,3,2,5
1994.0,Spain,Switzerland,3,0,3
1994.0,Saudi Arabia,Sweden,1,3,4
1994.0,Romania,Argentina,3,2,5
1994.0,Netherlands,Republic of Ireland,2,0,2
1994.0,Brazil,United States,1,0,1
1994.0,Nigeria,Italy,1,2,3
1994.0,Mexico,Bulgaria,1,1,2
1994.0,Italy,Spain,2,1,3
1994.0,Netherlands,Brazil,2,3,5
1994.0,Bulgaria,Germany,2,1,3
1994.0,Romania,Sweden,2,2,4
1994.0,Bulgaria,Italy,1,2,3
1994.0,Sweden,Brazil,0,1,1
1994.0,Sweden,Bulgaria,4,0,4
1994.0,Brazil,Italy,0,0,0
1994.0,United States,Switzerland,1,1,2
1994.0,Colombia,Romania,1,3,4
1994.0,Romania,Switzerland,1,4,5
1994.0,United States,Colombia,2,1,3
1994.0,Switzerland,Colombia,0,2,2
1994.0,United States,Romania,0,1,1
1994.0,Cameroon,Sweden,2,2,4
1994.0,Brazil,Russia,2,0,2
1994.0,Brazil,Cameroon,3,0,3
1994.0,Sweden,Russia,3,1,4
1994.0,Russia,Cameroon,6,1,7
1994.0,Brazil,Sweden,1,1,2
1994.0,Germany,Bolivia,1,0,1
1994.0,Spain,South Korea,2,2,4
1994.0,Germany,Spain,1,1,2
1994.0,South Korea,Bolivia,0,0,0
1994.0,Bolivia,Spain,1,3,4
1994.0,Germany,South Korea,3,2,5
1994.0,Argentina,Greece,4,0,4
1994.0,Nigeria,Bulgaria,3,0,3
1994.0,Argentina,Nigeria,2,1,3
1994.0,Bulgaria,Greece,4,0,4
1994.0,Argentina,Bulgaria,0,2,2
1994.0,Greece,Nigeria,0,2,2
1994.0,Italy,Republic of Ireland,0,1,1
1994.0,Norway,Mexico,1,0,1
1994.0,Italy,Norway,1,0,1
1994.0,Mexico,Republic of Ireland,2,1,3
1994.0,Italy,Mexico,1,1,2
1994.0,Republic of Ireland,Norway,0,0,0
1994.0,Belgium,Morocco,1,0,1
1994.0,Netherlands,Saudi Arabia,2,1,3
1994.0,Saudi Arabia,Morocco,2,1,3
1994.0,Belgium,Netherlands,1,0,1
1994.0,Belgium,Saudi Arabia,0,1,1
1994.0,Morocco,Netherlands,1,2,3
1998.0,Italy,Norway,1,0,1
1998.0,Brazil,Chile,4,1,5
1998.0,France,Paraguay,1,0,1
1998.0,Nigeria,Denmark,1,4,5
1998.0,Germany,Mexico,2,1,3
1998.0,Netherlands,FR Yugoslavia,2,1,3
1998.0,Romania,Croatia,0,1,1
1998.0,Argentina,England,2,2,4
1998.0,Italy,France,0,0,0
1998.0,Brazil,Denmark,3,2,5
1998.0,Netherlands,Argentina,2,1,3
1998.0,Germany,Croatia,0,3,3
1998.0,Brazil,Netherlands,1,1,2
1998.0,France,Croatia,2,1,3
1998.0,Netherlands,Croatia,1,2,3
1998.0,Brazil,France,0,3,3
1998.0,Brazil,Scotland,2,1,3
1998.0,Morocco,Norway,2,2,4
1998.0,Scotland,Norway,1,1,2
1998.0,Brazil,Morocco,3,0,3
1998.0,Brazil,Norway,1,2,3
1998.0,Scotland,Morocco,0,3,3
1998.0,Italy,Chile,2,2,4
1998.0,Cameroon,Austria,1,1,2
1998.0,Chile,Austria,1,1,2
1998.0,Italy,Cameroon,3,0,3
1998.0,Italy,Austria,2,1,3
1998.0,Chile,Cameroon,1,1,2
1998.0,Saudi Arabia,Denmark,0,1,1
1998.0,France,South Africa,3,0,3
1998.0,South Africa,Denmark,1,1,2
1998.0,France,Saudi Arabia,4,0,4
1998.0,France,Denmark,2,1,3
1998.0,South Africa,Saudi Arabia,2,2,4
1998.0,Paraguay,Bulgaria,0,0,0
1998.0,Spain,Nigeria,2,3,5
1998.0,Nigeria,Bulgaria,1,0,1
1998.0,Spain,Paraguay,0,0,0
1998.0,Nigeria,Paraguay,1,3,4
1998.0,Spain,Bulgaria,6,1,7
1998.0,South Korea,Mexico,1,3,4
1998.0,Netherlands,Belgium,0,0,0
1998.0,Belgium,Mexico,2,2,4
1998.0,Netherlands,South Korea,5,0,5
1998.0,Netherlands,Mexico,2,2,4
1998.0,Belgium,South Korea,1,1,2
1998.0,FR Yugoslavia,Iran,1,0,1
1998.0,Germany,United States,2,0,2
1998.0,Germany,FR Yugoslavia,2,2,4
1998.0,United States,Iran,1,2,3
1998.0,United States,FR Yugoslavia,0,1,1
1998.0,Germany,Iran,2,0,2
1998.0,England,Tunisia,2,0,2
1998.0,Romania,Colombia,1,0,1
1998.0,Colombia,Tunisia,1,0,1
1998.0,Romania,England,2,1,3
1998.0,Colombia,England,0,2,2
1998.0,Romania,Tunisia,1,1,2
1998.0,Argentina,Japan,1,0,1
1998.0,Jamaica,Croatia,1,3,4
1998.0,Japan,Croatia,0,1,1
1998.0,Argentina,Jamaica,5,0,5
1998.0,Argentina,Croatia,1,0,1
1998.0,Japan,Jamaica,1,2,3
2002.0,France,Senegal,0,1,1
2002.0,Uruguay,Denmark,1,2,3
2002.0,Denmark,Senegal,1,1,2
2002.0,France,Uruguay,0,0,0
2002.0,Denmark,France,2,0,2
2002.0,Senegal,Uruguay,3,3,6
2002.0,Paraguay,South Africa,2,2,4
2002.0,Spain,Slovenia,3,1,4
2002.0,Spain,Paraguay,3,1,4
2002.0,South Africa,Slovenia,1,0,1
2002.0,South Africa,Spain,2,3,5
2002.0,Slovenia,Paraguay,1,3,4
2002.0,Brazil,Turkey,2,1,3
2002.0,China,Costa Rica,0,2,2
2002.0,Brazil,China,4,0,4
2002.0,Costa Rica,Turkey,1,1,2
2002.0,Costa Rica,Brazil,2,5,7
2002.0,Turkey,China,3,0,3
2002.0,South Korea,Poland,2,0,2
2002.0,United States,Portugal,3,2,5
2002.0,South Korea,United States,1,1,2
2002.0,Portugal,Poland,4,0,4
2002.0,Portugal,South Korea,0,1,1
2002.0,Poland,United States,3,1,4
2002.0,Republic of Ireland,Cameroon,1,1,2
2002.0,Germany,Saudi Arabia,8,0,8
2002.0,Germany,Republic of Ireland,1,1,2
2002.0,Cameroon,Saudi Arabia,1,0,1
2002.0,Cameroon,Germany,0,2,2
2002.0,Saudi Arabia,Republic of Ireland,0,3,3
2002.0,Argentina,Nigeria,1,0,1
2002.0,England,Sweden,1,1,2
2002.0,Sweden,Nigeria,2,1,3
2002.0,Argentina,England,0,1,1
2002.0,Sweden,Argentina,1,1,2
2002.0,Nigeria,England,0,0,0
2002.0,Croatia,Mexico,0,1,1
2002.0,Italy,Ecuador,2,0,2
2002.0,Italy,Croatia,1,2,3
2002.0,Mexico,Ecuador,2,1,3
2002.0,Mexico,Italy,1,1,2
2002.0,Ecuador,Croatia,1,0,1
2002.0,Japan,Belgium,2,2,4
2002.0,Russia,Tunisia,2,0,2
2002.0,Japan,Russia,1,0,1
2002.0,Tunisia,Belgium,1,1,2
2002.0,Tunisia,Japan,0,2,2
2002.0,Belgium,Russia,3,2,5
2002.0,Germany,Paraguay,1,0,1
2002.0,Denmark,England,0,3,3
2002.0,Sweden,Senegal,1,2,3
2002.0,Spain,Republic of Ireland,1,1,2
2002.0,Mexico,United States,0,2,2
2002.0,Brazil,Belgium,2,0,2
2002.0,Japan,Turkey,0,1,1
2002.0,South Korea,Italy,2,1,3
2002.0,England,Brazil,1,2,3
2002.0,Germany,United States,1,0,1
2002.0,Spain,South Korea,0,0,0
2002.0,Senegal,Turkey,0,1,1
2002.0,Germany,South Korea,1,0,1
2002.0,Brazil,Turkey,1,0,1
2002.0,South Korea,Turkey,2,3,5
2002.0,Germany,Brazil,0,2,2
2006.0,Germany,Sweden,2,0,2
2006.0,Argentina,Mexico,2,1,3
2006.0,England,Ecuador,1,0,1
2006.0,Portugal,Netherlands,1,0,1
2006.0,Italy,Australia,1,0,1
2006.0,Switzerland,Ukraine,0,0,0
2006.0,Brazil,Ghana,3,0,3
2006.0,Spain,France,1,3,4
2006.0,Germany,Argentina,1,1,2
2006.0,Italy,Ukraine,3,0,3
2006.0,England,Portugal,0,0,0
2006.0,Brazil,France,0,1,1
2006.0,Germany,Italy,0,2,2
2006.0,Portugal,France,0,1,1
2006.0,Germany,Portugal,3,1,4
2006.0,Italy,France,1,1,2
2006.0,Germany,Costa Rica,4,2,6
2006.0,Poland,Ecuador,0,2,2
2006.0,Germany,Poland,1,0,1
2006.0,Ecuador,Costa Rica,3,0,3
2006.0,Ecuador,Germany,0,3,3
2006.0,Costa Rica,Poland,1,2,3
2006.0,England,Paraguay,1,0,1
2006.0,Trinidad and Tobago,Sweden,0,0,0
2006.0,England,Trinidad and Tobago,2,0,2
2006.0,Sweden,Paraguay,1,0,1
2006.0,Sweden,England,2,2,4
2006.0,Paraguay,Trinidad and Tobago,2,0,2
2006.0,Argentina,Ivory Coast,2,1,3
2006.0,Serbia and Montenegro,Netherlands,0,1,1
2006.0,Argentina,Serbia and Montenegro,6,0,6
2006.0,Netherlands,Ivory Coast,2,1,3
2006.0,Netherlands,Argentina,0,0,0
2006.0,Ivory Coast,Serbia and Montenegro,3,2,5
2006.0,Mexico,Iran,3,1,4
2006.0,Angola,Portugal,0,1,1
2006.0,Mexico,Angola,0,0,0
2006.0,Portugal,Iran,2,0,2
2006.0,Portugal,Mexico,2,1,3
2006.0,Iran,Angola,1,1,2
2006.0,United States,Czech Republic,0,3,3
2006.0,Italy,Ghana,2,0,2
2006.0,Czech Republic,Ghana,0,2,2
2006.0,Italy,United States,1,1,2
2006.0,Czech Republic,Italy,0,2,2
2006.0,Ghana,United States,2,1,3
2006.0,Australia,Japan,3,1,4
2006.0,Brazil,Croatia,1,0,1
2006.0,Japan,Croatia,0,0,0
2006.0,Brazil,Australia,2,0,2
2006.0,Japan,Brazil,1,4,5
2006.0,Croatia,Australia,2,2,4
2006.0,South Korea,Togo,2,1,3
2006.0,France,Switzerland,0,0,0
2006.0,France,South Korea,1,1,2
2006.0,Togo,Switzerland,0,2,2
2006.0,Togo,France,0,2,2
2006.0,Switzerland,South Korea,2,0,2
2006.0,Spain,Ukraine,4,0,4
2006.0,Tunisia,Saudi Arabia,2,2,4
2006.0,Saudi Arabia,Ukraine,0,4,4
2006.0,Spain,Tunisia,3,1,4
2006.0,Saudi Arabia,Spain,0,1,1
2006.0,Ukraine,Tunisia,1,0,1
2010.0,South Africa,Mexico,1,1,2
2010.0,Uruguay,France,0,0,0
2010.0,South Africa,Uruguay,0,3,3
2010.0,France,Mexico,0,2,2
2010.0,Mexico,Uruguay,0,1,1
2010.0,France,South Africa,1,2,3
2010.0,South Korea,Greece,2,0,2
2010.0,Argentina,Nigeria,1,0,1
2010.0,Argentina,South Korea,4,1,5
2010.0,Greece,Nigeria,2,1,3
2010.0,Nigeria,South Korea,2,2,4
2010.0,Greece,Argentina,0,2,2
2010.0,England,United States,1,1,2
2010.0,Algeria,Slovenia,0,1,1
2010.0,Slovenia,United States,2,2,4
2010.0,England,Algeria,0,0,0
2010.0,Slovenia,England,0,1,1
2010.0,United States,Algeria,1,0,1
2010.0,Serbia,Ghana,0,1,1
2010.0,Germany,Australia,4,0,4
2010.0,Germany,Serbia,0,1,1
2010.0,Ghana,Australia,1,1,2
2010.0,Ghana,Germany,0,1,1
2010.0,Australia,Serbia,2,1,3
2010.0,Netherlands,Denmark,2,0,2
2010.0,Japan,Cameroon,1,0,1
2010.0,Netherlands,Japan,1,0,1
2010.0,Cameroon,Denmark,1,2,3
2010.0,Denmark,Japan,1,3,4
2010.0,Cameroon,Netherlands,1,2,3
2010.0,Italy,Paraguay,1,1,2
2010.0,New Zealand,Slovakia,1,1,2
2010.0,Slovakia,Paraguay,0,2,2
2010.0,Italy,New Zealand,1,1,2
2010.0,Slovakia,Italy,3,2,5
2010.0,Paraguay,New Zealand,0,0,0
2010.0,Ivory Coast,Portugal,0,0,0
2010.0,Brazil,North Korea,2,1,3
2010.0,Brazil,Ivory Coast,3,1,4
2010.0,Portugal,North Korea,7,0,7
2010.0,Portugal,Brazil,0,0,0
2010.0,North Korea,Ivory Coast,0,3,3
2010.0,Honduras,Chile,0,1,1
2010.0,Spain,Switzerland,0,1,1
2010.0,Chile,Switzerland,1,0,1
2010.0,Spain,Honduras,2,0,2
2010.0,Chile,Spain,1,2,3
2010.0,Switzerland,Honduras,0,0,0
2010.0,Uruguay,South Korea,2,1,3
2010.0,United States,Ghana,1,2,3
2010.0,Germany,England,4,1,5
2010.0,Argentina,Mexico,3,1,4
2010.0,Netherlands,Slovakia,2,1,3
2010.0,Brazil,Chile,3,0,3
2010.0,Paraguay,Japan,0,0,0
2010.0,Spain,Portugal,1,0,1
2010.0,Netherlands,Brazil,2,1,3
2010.0,Uruguay,Ghana,1,1,2
2010.0,Argentina,Germany,0,4,4
2010.0,Paraguay,Spain,0,1,1
2010.0,Uruguay,Netherlands,2,3,5
2010.0,Germany,Spain,0,1,1
2010.0,Uruguay,Germany,2,3,5
2010.0,Netherlands,Spain,0,1,1
2014.0,Brazil,Croatia,3,1,4
2014.0,Mexico,Cameroon,1,0,1
2014.0,Brazil,Mexico,0,0,0
2014.0,Cameroon,Croatia,0,4,4
2014.0,Cameroon,Brazil,1,4,5
2014.0,Croatia,Mexico,1,3,4
2014.0,Spain,Netherlands,1,5,6
2014.0,Chile,Australia,3,1,4
2014.0,Australia,Netherlands,2,3,5
2014.0,Spain,Chile,0,2,2
2014.0,Australia,Spain,0,3,3
2014.0,Netherlands,Chile,2,0,2
2014.0,Colombia,Greece,3,0,3
2014.0,Ivory Coast,Japan,2,1,3
2014.0,Colombia,Ivory Coast,2,1,3
2014.0,Japan,Greece,0,0,0
2014.0,Japan,Colombia,1,4,5
2014.0,Greece,Ivory Coast,2,1,3
2014.0,Uruguay,Costa Rica,1,3,4
2014.0,England,Italy,1,2,3
2014.0,Uruguay,England,2,1,3
2014.0,Italy,Costa Rica,0,1,1
2014.0,Italy,Uruguay,0,1,1
2014.0,Costa Rica,England,0,0,0
2014.0,Switzerland,Ecuador,2,1,3
2014.0,France,Honduras,3,0,3
2014.0,Switzerland,France,2,5,7
2014.0,Honduras,Ecuador,1,2,3
2014.0,Honduras,Switzerland,0,3,3
2014.0,Ecuador,France,0,0,0
2014.0,Argentina,Bosnia and Herzegovina,2,1,3
2014.0,Iran,Nigeria,0,0,0
2014.0,Argentina,Iran,1,0,1
2014.0,Nigeria,Bosnia and Herzegovina,1,0,1
2014.0,Nigeria,Argentina,2,3,5
2014.0,Bosnia and Herzegovina,Iran,3,1,4
2014.0,Germany,Portugal,4,0,4
2014.0,Ghana,United States,1,2,3
2014.0,Germany,Ghana,2,2,4
2014.0,United States,Portugal,2,2,4
2014.0,United States,Germany,0,1,1
2014.0,Portugal,Ghana,2,1,3
2014.0,Belgium,Algeria,2,1,3
2014.0,Russia,South Korea,1,1,2
2014.0,Belgium,Russia,1,0,1
2014.0,South Korea,Algeria,2,4,6
2014.0,South Korea,Belgium,0,1,1
2014.0,Algeria,Russia,1,1,2
2014.0,Brazil,Chile,1,1,2
2014.0,Colombia,Uruguay,2,0,2
2014.0,Netherlands,Mexico,2,1,3
2014.0,Costa Rica,Greece,1,1,2
2014.0,France,Nigeria,2,0,2
2014.0,Germany,Algeria,2,1,3
2014.0,Argentina,Switzerland,1,0,1
2014.0,Belgium,United States,2,1,3
2014.0,France,Germany,0,1,1
2014.0,Brazil,Colombia,2,1,3
2014.0,Argentina,Belgium,1,0,1
2014.0,Netherlands,Costa Rica,0,0,0
2014.0,Brazil,Germany,1,7,8
2014.0,Netherlands,Argentina,0,0,0
2014.0,Brazil,Netherlands,0,3,3
2014.0,Germany,Argentina,1,0,1
2018.0,Russia,Saudi Arabia,5,0,5
2018.0,Egypt,Uruguay,0,1,1
2018.0,Russia,Egypt,3,1,4
2018.0,Uruguay,Saudi Arabia,1,0,1
2018.0,Uruguay,Russia,3,0,3
2018.0,Saudi Arabia,Egypt,2,1,3
2018.0,Morocco,Iran,0,1,1
2018.0,Portugal,Spain,3,3,6
2018.0,Portugal,Morocco,1,0,1
2018.0,Iran,Spain,0,1,1
2018.0,Iran,Portugal,1,1,2
2018.0,Spain,Morocco,2,2,4
2018.0,France,Australia,2,1,3
2018.0,Peru,Denmark,0,1,1
2018.0,Denmark,Australia,1,1,2
2018.0,France,Peru,1,0,1
2018.0,Denmark,France,0,0,0
2018.0,Australia,Peru,0,2,2
2018.0,Argentina,Iceland,1,1,2
2018.0,Croatia,Nigeria,2,0,2
2018.0,Argentina,Croatia,0,3,3
2018.0,Nigeria,Iceland,2,0,2
2018.0,Nigeria,Argentina,1,2,3
2018.0,Iceland,Croatia,1,2,3
2018.0,Costa Rica,Serbia,0,1,1
2018.0,Brazil,Switzerland,1,1,2
2018.0,Brazil,Costa Rica,2,0,2
2018.0,Serbia,Switzerland,1,2,3
2018.0,Serbia,Brazil,0,2,2
2018.0,Switzerland,Costa Rica,2,2,4
2018.0,Germany,Mexico,0,1,1
2018.0,Sweden,South Korea,1,0,1
2018.0,South Korea,Mexico,1,2,3
2018.0,Germany,Sweden,2,1,3
2018.0,South Korea,Germany,2,0,2
2018.0,Mexico,Sweden,0,3,3
2018.0,Belgium,Panama,3,0,3
2018.0,Tunisia,England,1,2,3
2018.0,Belgium,Tunisia,5,2,7
2018.0,England,Panama,6,1,7
2018.0,England,Belgium,0,1,1
2018.0,Panama,Tunisia,1,2,3
2018.0,Colombia,Japan,1,2,3
2018.0,Poland,Senegal,1,2,3
2018.0,Japan,Senegal,2,2,4
2018.0,Poland,Colombia,0,3,3
2018.0,Japan,Poland,0,1,1
2018.0,Senegal,Colombia,0,1,1
2018.0,France,Argentina,4,3,7
2018.0,Uruguay,Portugal,2,1,3
2018.0,Spain,Russia,1,1,2
2018.0,Croatia,Denmark,1,1,2
2018.0,Brazil,Mexico,2,0,2
2018.0,Belgium,Japan,3,2,5
2018.0,Sweden,Switzerland,1,0,1
2018.0,Colombia,England,1,1,2
2018.0,Uruguay,France,0,2,2
2018.0,Brazil,Belgium,1,2,3
2018.0,Sweden,England,0,2,2
2018.0,Russia,Croatia,2,2,4
2018.0,France,Belgium,1,0,1
2018.0,Croatia,England,2,1,3
2018.0,Belgium,England,2,0,2
2018.0,France,Croatia,4,2,6
